lab.tree;lab.fruit_label;fruit_id;lab.caliber_mm;lab.height_mm;lab.weight_gr;lab.observations
1;1;01001;80.83;78.92;248.9;
1;2;01002;66.88;68.61;159;
1;3;01003;76.1;74.22;204.6;
1;4;01004;82.14;81.3;269.6;
1;5;01005;74.01;76.94;191;
1;6;01006;65.26;64.13;133.5;
1;7;01007;75.51;68.62;192.9;
1;8;01008;70.38;67.63;168;
1;9;01009;70.15;66.68;167.3;
1;10;01010;62.77;61.78;132.9;
1;11;01011;70.16;65.31;150.6;
1;12;01012;67.88;61.88;148.3;
1;13;01013;70.16;65.41;155.3;
1;14;01014;73.24;73.93;195.2;
1;15;01015;68.57;66.15;153.1;
1;16;01016;80.28;80.15;258.3;
1;17;01017;73.27;73.02;187.1;
1;18;01018;76.17;74.65;210.3;
1;19;01019;64.61;59.98;124.3;
1;20;01020;68.92;69.78;167.5;
1;21;01021;67.33;67.74;160.5;
1;22;01022;75.4;74.89;234.7;
1;23;01023;74.98;72.22;206.5;
1;24;01024;58.98;53.68;98.6;
1;25;01025;63.89;62.94;138.6;
1;26;01026;75.87;80.59;223.5;
1;27;01027;64.19;61.24;137;
1;28;01028;66.49;61.67;140.9;
1;29;01029;69.62;70.85;164.6;
1;30;01030;76.26;70.85;193.9;
1;31;01031;69.44;65.29;159.1;
1;32;01032;76.48;78.11;224.2;
1;33;01033;73.17;68.18;180.9;
1;34;01034;70.17;70.86;171;
1;35;01035;69.39;68.04;159.8;
1;36;01036;73.23;70.36;181.2;
1;37;01037;68.98;65.48;156.4;
1;38;01038;76.86;81.69;221.5;
1;39;01039;72.45;68.35;171.9;
1;40;01040;68.2;60.61;134.9;
1;41;01041;68.7;64.72;148.7;
1;42;01042;78.26;82.16;246.9;
1;43;01043;72.26;68.55;180.2;
1;44;01044;73.08;69.6;189.5;
1;45;01045;75.66;75.85;221.6;
1;46;01046;74.62;65.54;164.3;
1;47;01047;69.34;62.88;143.9;
1;48;01048;73.21;70.21;188.1;
1;49;01049;69.58;68.25;163;
1;50;01050;74.21;72.98;202.9;
1;51;01051;72.7;62.73;160.1;
1;52;01052;73.59;68.45;182;
1;53;01053;69.7;65.21;163.7;
1;54;01054;74.45;70.87;194.4;
1;55;01055;61.47;60.39;118.4;
1;56;01056;67.3;68.32;159.6;
1;57;01057;74.55;70.69;185.1;
1;58;01058;65.37;61.56;140.1;
1;59;01059;71.7;74.73;184.3;
1;60;01060;76.39;72.4;183.9;
1;61;01061;67.04;58.98;135.4;
1;62;01062;73.88;67.14;169.5;
1;63;01063;69.32;61.21;148.9;
1;64;01064;72.27;58.96;155;
1;65;01065;64.37;62.5;124.2;
1;66;01066;76.77;74.86;216.9;
1;67;01067;75.66;67.25;189.1;
1;68;01068;73.5;73.34;201.6;
1;69;01069;72.77;66.28;175.8;
1;70;01070;70.62;63.88;146.7;
1;71;01071;74.75;74.06;198.3;
1;72;01072;68.25;67.15;146.1;
1;73;01073;72.3;69.65;168.3;
1;74;01074;77.39;71.4;201.8;
1;75;01075;74.43;78.81;220.2;
1;76;01076;62.21;61.83;110.8;
1;77;01077;70.16;71.73;168.8;
1;78;01078;64.37;59.2;120.3;
1;79;01079;71.48;64.5;154.7;
1;80;01080;73.48;70.42;192.6;
1;81;01081;72.49;72.75;193.1;
1;82;01082;77.11;82.13;240.2;
1;83;01083;72.31;68.81;182.3;
1;84;01084;76.4;74.7;214.8;
1;85;01085;72.4;68.5;179.1;
1;86;01086;67.58;60.82;129.5;
1;87;01087;66.71;66.38;149.7;
1;88;01088;74.21;70.87;182.2;
1;89;01089;75.1;71.51;199.6;
1;90;01090;82.22;76.77;246.4;
1;91;01091;67.39;63.98;137.1;
1;92;01092;77.08;74.37;210.6;
1;93;01093;69.68;65.61;159;
1;94;01094;70.03;66.54;166.1;
1;95;01095;74.24;78.07;188.4;
1;96;01096;77.67;71.05;224.4;
1;97;01097;59.26;62.73;109.4;
1;98;01098;60.6;58.05;108.4;
1;99;01099;65.72;70.93;139.6;
2;100;02100;74.77;73.92;202;
2;101;02101;60.82;54.96;101.6;
2;102;02102;73.61;67.21;171.3;
2;103;02103;71.98;63.31;163.9;
2;104;02104;75.28;77.18;208.1;
2;105;02105;68.79;64.48;148;
2;106;02106;75.88;79.78;213.6;
2;107;02107;76.1;77.65;204.5;
2;108;02108;69.47;72.6;158.8;
2;109;02109;70.14;62.54;151.1;
2;110;02110;66.65;65.89;156.6;
2;111;02111;71.92;67.4;166.2;
2;112;02112;75.16;69.3;199.5;
2;113;02113;71.52;73.17;175.2;
2;114;02114;74.82;74.43;185.2;
2;115;02115;81.03;78.68;230.9;
2;116;02116;69.3;70.32;172.9;
2;117;02117;80.47;74.8;232.3;
2;118;02118;71.61;70.28;171.8;
2;119;02119;70.62;72.3;183.2;
2;120;02120;77.76;76.45;231.9;
2;121;02121;76.46;75.4;219.8;
2;122;02122;68.37;63.11;141.6;
2;123;02123;72.79;70.38;177.8;
2;124;02124;80.7;71.01;217.7;
2;125;02125;82.78;83.49;269.9;
2;126;02126;77.51;80.03;228.9;
2;127;02127;68.21;68.2;156.1;
2;128;02128;67;63.87;142.4;
2;129;02129;75.87;69.79;194.5;
2;130;02130;69.45;71.72;178.1;
2;131;02131;69.31;67.02;157.2;
2;132;02132;72.84;70.09;172.9;
2;133;02133;64.28;57.2;109.7;
2;134;02134;76.23;76.59;214.8;
2;135;02135;75.2;71.56;210.2;
2;136;02136;66.27;59.62;128.1;
2;137;02137;70.2;66.22;165.6;
2;138;02138;68.02;59.32;145.7;
2;139;02139;72.65;67.94;170.7;
2;140;02140;69.4;64.07;156.6;
2;141;02141;78.94;71.14;205.4;
2;142;02142;74.91;73.08;203.9;
2;143;02143;72.27;73.61;185.1;
2;144;02144;70.89;70.23;167.3;
2;145;02145;75.03;69.14;172.7;
2;146;02146;66.95;64.9;132.9;
2;147;02147;77.09;74.83;209.7;
2;148;02148;67.24;58.27;134.2;
2;149;02149;70.83;66.42;149.5;
2;150;02150;74.33;67.63;174.9;
2;151;02151;62.13;59.12;110.5;
2;152;02152;71.43;70.27;172.2;
2;153;02153;74.66;68.56;197.1;
2;154;02154;74.98;78.61;197.4;
