lab.tree;lab.fruit_label;fruit_id;lab.caliber_mm;lab.height_mm;lab.weight_gr;lab.observations
2;100;02100;74.77;73.92;202;
2;101;02101;60.82;54.96;101.6;
2;102;02102;73.61;67.21;171.3;
2;103;02103;71.98;63.31;163.9;
2;104;02104;75.28;77.18;208.1;
2;105;02105;68.79;64.48;148;
2;106;02106;75.88;79.78;213.6;
2;107;02107;76.1;77.65;204.5;
2;108;02108;69.47;72.6;158.8;
2;109;02109;70.14;62.54;151.1;
2;110;02110;66.65;65.89;156.6;
2;111;02111;71.92;67.4;166.2;
2;112;02112;75.16;69.3;199.5;
2;113;02113;71.52;73.17;175.2;
2;114;02114;74.82;74.43;185.2;
2;115;02115;81.03;78.68;230.9;
2;116;02116;69.3;70.32;172.9;
2;117;02117;80.47;74.8;232.3;
2;118;02118;71.61;70.28;171.8;
2;119;02119;70.62;72.3;183.2;
2;120;02120;77.76;76.45;231.9;
2;121;02121;76.46;75.4;219.8;
2;122;02122;68.37;63.11;141.6;
2;123;02123;72.79;70.38;177.8;
2;124;02124;80.7;71.01;217.7;
2;125;02125;82.78;83.49;269.9;
2;126;02126;77.51;80.03;228.9;
2;127;02127;68.21;68.2;156.1;
2;128;02128;67;63.87;142.4;
2;129;02129;75.87;69.79;194.5;
2;130;02130;69.45;71.72;178.1;
2;131;02131;69.31;67.02;157.2;
2;132;02132;72.84;70.09;172.9;
2;133;02133;64.28;57.2;109.7;
2;134;02134;76.23;76.59;214.8;
2;135;02135;75.2;71.56;210.2;
2;136;02136;66.27;59.62;128.1;
2;137;02137;70.2;66.22;165.6;
2;138;02138;68.02;59.32;145.7;
2;139;02139;72.65;67.94;170.7;
2;140;02140;69.4;64.07;156.6;
2;141;02141;78.94;71.14;205.4;
2;142;2142;74.91;73.08;203.9;
2;143;2143;72.27;73.61;185.1;
2;144;2144;70.89;70.23;167.3;
2;145;2145;75.03;69.14;172.7;
2;146;2146;66.95;64.9;132.9;
2;147;2147;77.09;74.83;209.7;
2;148;2148;67.24;58.27;134.2;
2;149;2149;70.83;66.42;149.5;
2;150;2150;74.33;67.63;174.9;
2;151;2151;62.13;59.12;110.5;
2;152;2152;71.43;70.27;172.2;
2;153;2153;74.66;68.56;197.1;
2;154;2154;74.98;78.61;197.4;
2;155;2155;74.91;69.44;197.3;
2;156;2156;73.03;68.22;175.8;
2;157;2157;63.33;58.13;106.3;
2;158;2158;78.66;71.58;210.1;
2;159;2159;69.72;65.76;153.7;
2;160;2160;49.85;44.37;47.3;
2;161;2161;76.84;71.69;204.1;
2;162;2162;71.56;72.25;177.8;
2;163;2163;74.11;75.23;200.1;
2;164;2164;75.31;70.26;191.6;
2;165;2165;70.92;65.59;148.4;
2;166;2166;56.14;56.52;80.5;
2;167;2167;63.68;66.07;136.4;
2;168;2168;58.19;49.83;81.6;
2;169;2169;62.81;65;119.2;
2;170;2170;70.79;75.37;178.4;
2;171;2171;64.43;54.57;102.3;
2;172;2172;65.03;64.42;135.7;
2;173;2173;73.73;66.38;161.8;
2;174;2174;75.55;78.27;207.1;
2;175;2175;78.13;70.96;205.6;
2;176;2176;73.63;66;161.7;
2;177;2177;68.06;62.77;133.9;
2;178;2178;76.11;74.42;193.9;
2;179;2179;70.14;70.66;169.5;
2;180;2180;69.17;64.92;155.1;
