lab.tree;lab.fruit_label;fruit_id;lab.depth_mm;lab.caliber_mm;lab.height_mm;lab.weight_gr;lab.observations;lab.occluded
2;118;2118;0.0;71.61;70.28;171.8;;NO
2;119;2119;0.0;70.62;72.3;183.2;;YES
2;120;2120;0.0;77.76;76.45;231.9;;YES
2;122;2122;0.0;68.37;63.11;141.6;;YES
2;124;2124;0.0;80.7;71.01;217.7;;NO
2;125;2125;0.0;82.78;83.49;269.9;;YES
2;129;2129;0.0;75.87;69.79;194.5;;NO
2;132;2132;0.0;72.84;70.09;172.9;;YES
2;133;2133;0.0;64.28;57.2;109.7;;YES
2;134;2134;0.0;76.23;76.59;214.8;;YES
2;136;2136;0.0;66.27;59.62;128.1;;NO
2;163;2163;0.0;74.11;75.23;200.1;;YES
2;164;2164;0.0;75.31;70.26;191.6;;YES
2;167;2167;0.0;63.68;66.07;136.4;;NO
2;168;2168;0.0;58.19;49.83;81.6;;YES
2;171;2171;0.0;64.43;54.57;102.3;;YES
2;174;2174;0.0;75.55;78.27;207.1;;YES
1;BALL_060;BALL_060;1446.0;60.0;60.0;108.0;;NO
1;BALL_120;BALL_120;1427.0;120.0;120.0;409.0;;NO
3;202;3202;0.0;68.71;71.26;202.2;;NO
3;203;3203;0.0;75.87;78.31;270.1;;YES
1;22;1022;0.0;75.4;74.89;234.7;;NO
1;46;1046;0.0;74.62;65.54;164.3;;YES
1;50;1050;0.0;74.21;72.98;202.9;;YES
1;51;1051;0.0;72.7;62.73;160.1;;NO
1;71;1071;0.0;74.75;74.06;198.3;;YES
1;83;1083;0.0;72.31;68.81;182.3;;NO
2;151;2151;0.0;62.13;59.12;110.5;;YES
